,humidity,temperature_celcius,status_temperature,status_humidity
0,78.0,23.0,Low,High
1,78.0,23.9,Low,High
2,78.0,23.9,Low,High
3,78.0,23.9,Low,High
4,78.0,23.9,Low,High
5,78.0,23.3,Low,High
6,78.0,23.3,Low,High
7,78.0,23.3,Low,High
8,78.0,23.3,Low,High
9,78.0,23.0,Low,High
10,78.0,23.0,Low,High
11,78.0,23.0,Low,High
12,78.0,23.0,Low,High
13,78.0,23.2,Low,High
14,78.0,23.2,Low,High
15,78.0,23.2,Low,High
16,78.0,23.2,Low,High
17,78.0,23.2,Low,High
18,78.0,23.2,Low,High
19,78.0,23.2,Low,High
20,78.0,23.2,Low,High
21,78.0,23.2,Low,High
22,78.0,23.2,Low,High
23,78.0,23.2,Low,High
24,78.0,23.2,Low,High
25,78.0,23.2,Low,High
26,78.0,23.2,Low,High
27,78.0,23.2,Low,High
28,78.0,23.2,Low,High
29,78.0,23.2,Low,High
30,78.0,23.2,Low,High
31,78.0,23.2,Low,High
32,78.0,23.2,Low,High
33,78.0,23.3,Low,High
34,78.0,23.3,Low,High
35,78.0,23.3,Low,High
36,78.0,23.3,Low,High
37,78.0,23.1,Low,High
38,78.0,23.1,Low,High
39,78.0,23.1,Low,High
40,78.0,23.1,Low,High
41,78.0,23.9,Low,High
42,78.0,23.9,Low,High
43,78.0,23.9,Low,High
44,78.0,23.9,Low,High
45,78.0,23.2,Low,High
46,78.0,23.2,Low,High
47,78.0,23.2,Low,High
48,78.0,23.2,Low,High
49,78.0,23.9,Low,High
50,78.0,23.9,Low,High
51,78.0,23.9,Low,High
52,78.0,23.9,Low,High
53,78.0,23.8,Low,High
54,78.0,23.8,Low,High
55,78.0,23.8,Low,High
56,78.0,23.8,Low,High
57,78.0,23.5,Low,High
58,78.0,23.5,Low,High
59,78.0,23.5,Low,High
60,78.0,23.5,Low,High
61,78.0,23.8,Low,High
62,78.0,23.8,Low,High
63,78.0,23.8,Low,High
64,78.0,23.8,Low,High
